TKR181200217	PLANET-seq_1
ERR1399342	E-MTAB-4684:Sample_4
ERR1399343	E-MTAB-4684:Sample_5
ERR1399344	E-MTAB-4684:Sample_6
ERR1399345	E-MTAB-4684:Sample_7
ERR1399346	E-MTAB-4684:Sample_8
ERR1399347	E-MTAB-4684:Sample_9
SRR1635839	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR2979487	COL-0_for_air_treatment
SRR1635838	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR941999	Col_H3K4m2_ChIP_(replicate_1)_A,_B,_C
SRR824574	AG-GFP_(AP1-GR_ap1_cal)_ChIPseq_replicate_2
SRR824575	negative_control_(AP1-GR_ap1_cal)_replicate_1
SRR824576	negative_control_(AP1-GR_ap1_cal)_replicate_2
SRR1848408	at-endosperm-H3K9m2_2_replicate_1_ler_x_col
SRR824573	AG-GFP_(AP1-GR_ap1_cal)_ChIPseq_replicate_1
SRR1848409	at-endosperm-H3K9m2_2_replicate_2_col_x_ler
SRR1042994	SEP3_ChIP-seq_2d_biological_replicate_1
SRR1042995	SEP3_ChIP-seq_2d_biological_replicate_2
DRR072871	suvh456_triple
DRR072870	ldl2_T-DNA
DRR072873	suvh456_triple
DRR072872	suvh456_triple
DRR072875	suvh456_triple
DRR072874	suvh456_triple
DRR072877	FLAG-His-HA-gIBM1
DRR072876	WT_Col-0
DRR072879	FLAG-His-HA-gIBM1
DRR072878	WT_Col-0
SRR1005404	WT_H3K9me2_ChIP
SRR495525	Sample_815-Athal
SRR1618900	H3K27me3_ChIP-seq_WT_C24_Rep2
SRR1618901	H3K27me3_ChIP-seq_WT_Col-C24_Rep2
SRR1618902	H3K27me3_ChIP-seq_clf_Col
SRR1618903	H3K27me3_ChIP-seq_clf_C24
SRR1618904	H3K27me3_ChIP-seq_clf_Col-C24
SRR5298636	Input_chromatin_from_Ws_-_bioRep_2
SRR5298637	Input_chromatin_from_Ws_-_bioRep_3
SRR5298634	BPC+ZnF_KD-bioRep_3
SRR2637928	Input_ChIP-Seq_atx
SRR5298635	Input_chromatin_from_Ws_-_bioRep_1
SRR037794	H3K9me2_aerial_tissue_of_two-weeks_old_seedlings_Solid
SRR5298632	BPC+ZnF_KD-bioRep_1
SRR037796	H3K9me2_aerial_tissue_of_two-weeks_old_seedlings_Solid
SRR2637926	H3K4me2_ChIP-Seq_atx
SRR2637927	H3K4me3_ChIP-Seq_atx
SRR2637924	H3K4me3_ChIP-Seq_WT
SRR5298633	BPC+ZnF_KD-bioRep_2
SRR3418119	AT2G22430_HB6_EtOH_ChIP_rep1
SRR3418118	AT2G22430_HB6_ABA_ChIP_rep1
SRR5298630	WT-FIE_-_bioRep_2
SRR3418113	AT5G65310_HB5_EtOH_ChIP_rep1
SRR3418112	AT5G65310_HB5_ABA_ChIP_rep1
SRR3418111	AT5G67300_MYB44_EtOH_ChIP_rep3
SRR5298631	WT-FIE_-_bioRep_3
SRR3418117	AT5G65310_HB5_EtOH_ChIP_rep3
SRR3418116	AT5G65310_HB5_ABA_ChIP_rep3
SRR3418115	AT5G65310_HB5_EtOH_ChIP_rep2
SRR3418114	AT5G65310_HB5_ABA_ChIP_rep2
SRR1536268	ZC_3_131216
SRR1536269	ZC_3_140207
SRR1536266	ZC_1_131216
SRR5640850	BCOT_input_br2
SRR1042993	AP1_ChIP-seq_2d_biological_replicate_2
SRR3610902	ChIP_GSNO_3h_rep1
SRR3087689	RNAPol-II
SRR3087688	H3K27me3_in_CLF
SRR3087687	H3K27me3_in_WT,_2
SRR3087686	H3K27me3_in_LHP1
SRR3087685	H3K27me3_in_WT,_1
SRR3087684	LHP1_ChIPseq
SRR3087683	LHP1_ChIPseq_Input
SRR3610900	ChIP_GSNO_3h_rep1
SRR2979661	ein2_mutant_in_COL-0_background_for_ethylene_treatment
SRR3610906	ChIP_GSNO_3h_rep2
SRR3610907	ChIP_GSH_3h_rep1
SRR3610904	ChIP_GSNO_3h_rep2
SRR3610905	ChIP_GSNO_3h_rep2
SRR788201	GSM1103231:_PolIV_ChIP
SRR788200	GSM1103230:_Columbia_ChIP
SRR788203	GSM1103233:_PolIV_ChIP_replicate_2
SRR788202	GSM1103232:_Columbia_ChIP_replicate_2
SRR5818190	ChIP-seq_H3K27me3_h3.1kd-2_rep2
SRR520358	Col_ChIP_replicate_2
SRR942019	drm2_H3K4m3_ChIP_(replicate_2)
SRR2243600	ref6_BRM-BRM-GFP_Input
SRR2243601	REF6-REF6-GFP_ab290
SRR2243602	brm_REF6-REF6-GFP_ab290
SRR2243603	BRM-BRM-GFP_ab290_#1
SRR2243604	ref6_BRM-BRM-GFP_ab290_#1
SRR2243605	REF6-REF6-GFP_ab290_#2
SRR2243606	brm_REF6-REF6-GFP_ab290_#2
SRR822351	GSM1116509:_gSOC1_negative_3
SRR398910	PIF5ox_input
SRR800602	General_Sample_for_Arabidopsis_thaliana
SRR800603	General_Sample_for_Arabidopsis_thaliana
SRR1167729	pSVP:SVP:GFP_svp-41_FLC_FRI_rep2
SRR1167728	pSVP:SVP:GFP_svp-41_FLC_FRI_rep1
SRR1167727	pSVP:SVP:GFP_svp-41_FLC_FRI_rep1
SRR2001288	rosettes_wildtype_peg_H3K4me3_rep3
SRR2001289	rosettes_wildtype_peg_H3T3ph_rep1
SRR2001280	rosettes_wildtype_peg_H3_rep3
SRR2001281	rosettes_wildtype_peg_H3_rep4
SRR2001282	rosettes_wildtype_peg_H3K4me1_rep1
SRR2001283	rosettes_wildtype_peg_H3K4me1_rep2
SRR2001284	rosettes_wildtype_peg_H3K4me1_rep3
SRR2001285	rosettes_wildtype_peg_H3K4me1_rep4
SRR2001286	rosettes_wildtype_peg_H3K4me3_rep1
SRR2001287	rosettes_wildtype_peg_H3K4me3_rep2
SRR2626463	
SRR2626465	
SRR2626464	
SRR2626466	
SRR5313759	ChIPseq_AGO1_WT_Flg22treat_input_rep2
SRR5313758	ChIPseq_AGO1_WT_Flg22treat_input_rep1
SRR6412329	brm_H2A.Z_ChIP_-_rep1
SRR6412328	arp6_input_-_rep2
SRR6412327	arp6_input_-_rep1
SRR6412326	arp6_H2A.Z_ChIP_-_rep2
SRR6412325	arp6_H2A.Z_ChIP_-_rep1
SRR6412324	WT_Input_-_rep2
SRR6412323	WT_Input_-_rep1
SRR5313756	ChIPseq_AGO1_WT_Flg22treat_ChIP_rep1
SRR6412321	WT_H2A.Z_ChIP_-_rep1
SRR5313754	ChIPseq_AGO1_WT_Flg22control_input_rep1
SRR3610911	ChIP_GSH_3h_rep2
SRR3610910	ChIP_GSH_3h_rep1
SRR3610913	ChIP_GSH_3h_rep2
SRR3610912	ChIP_GSH_3h_rep2
SRR3610915	CHIP_GSNO_cPTIO_3h_rep1
SRR3610914	ChIP_GSH_3h_rep2
SRR3610917	CHIP_GSNO_cPTIO_3h_rep1
SRR3610916	CHIP_GSNO_cPTIO_3h_rep1
SRR3610919	CHIP_GSNO_cPTIO_3h_rep2
SRR3610918	CHIP_GSNO_cPTIO_3h_rep1
SRR3938559	
SRR3192751	RPL-GFP_chipseq_rep1
SRR495446	Sample_815-Athal
DRR072862	WT_Col-0
DRR072863	WT_Col-0
DRR072860	suvh456_triple
DRR072861	WT_Col-0
DRR072866	ldl2_T-DNA
DRR072867	ldl2_T-DNA
DRR072864	WT_Col-0
DRR072865	WT_Col-0
SRR3133900	
DRR072868	ldl2_T-DNA
SRR3133903	
SRR3133904	
SRR3133905	
SRR3133906	
SRR2085417	mCG_rep2
SRR2085416	mCG_protocol_validation_chip
SRR2085419	mCHH_rep2
SRR3130162	
SRR5133369	
SRR4430537	AtCENH3_rep1
SRR4430539	AtCENH3_rep2
SRR1964990	H3K9ac_42d_Input
SRR6057737	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K27me3
SRR6057736	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K27me3
SRR6057739	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K27me3
SRR6057738	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_H3K27me3_ChIP_Input_reference
SRR3094677	Root_protoplasts_from_Arabidopsis_thaliana_for_TARGET_system.
SRR2637930	Input_ChIP-Seq_sdg2
SRR1931611	atbmi1_neg_ChIPseq
SRR1536273	ChIP-2-130516
SRR1536272	ChIP-1-130516
SRR1536271	ZC_6_140207
SRR1536270	ZC_4_140207
SRR6785146	
SRR1536275	ChIP-6-130516
SRR1536274	ChIP-3-130516
SRR6057023	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_ChIP-seq_H3K27me3
SRR6057022	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_ChIP-seq_H3K27me3
SRR6057021	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_ChIP-seq_H3K27me3
SRR6057020	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_H3K27me3_ChIP_Input_reference
SRR6057024	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_ChIP-seq_H3K27me3
SRR1931612	atring1a,b_H3K27me3_ChIPseq
SRR1931613	atring1a,b_neg_ChIPseq
SRR1612835	ARR10_Exp1_Rep1
SRR5388790	SUVH9_rep1
SRR520357	NRPE1_ChIP
SRR645810	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR645811	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR645812	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR5146129	A.thaliana_15D
SRR645813	Col-0_3-day_etiolated_seedlings,_1_hour_ethylene_treatment
SRR1613120	
SRR851701	AP1_ChIP-seq_8d_biological_reps_1_and_2
SRR5146130	A.thaliana_15D
SRR040051	ap2_ctrl_rep2
SRR040050	ap2_ctrl_rep1
SRR394079	HTR13_Myc_ChIP-seq
SRR394078	HTR5_Myc_ChIP-seq
SRR4010798	H3-ChIP_25°C_biological_replicate_A
SRR4010799	H3-ChIP_25°C_biological_replicate_B
SRR6785144	
SRR2001299	rosettes_dm_peg_H3K4me1_rep2
SRR2001298	rosettes_dm_peg_H3K4me1_rep1
SRR4010792	H3-ChIP_16°C_biological_replicate_B
SRR4010793	H3-ChIP_16°C_biological_replicate_C
SRR4010790	H3K36me3-ChIP_16°C_biological_replicate_D
SRR4010791	H3-ChIP_16°C_biological_replicate_A
SRR4010796	H3K36me3-ChIP_25°C_biological_replicate_C
SRR4010797	H3K36me3-ChIP_25°C_biological_replicate_D
SRR4010794	H3K36me3-ChIP_25°C_biological_replicate_A
SRR4010795	H3K36me3-ChIP_25°C_biological_replicate_B
SRR6785145	
SRR2001294	rosettes_dm_watered_H3_rep1
SRR2932298	H3K36ac_2
SRR611841	ChIP_Seq_of_Polyadenylation_Factor_PCFS4
SRR3610924	ChIP_TSA_3h_rep1
SRR3610925	ChIP_TSA_3h_rep1
SRR3610926	ChIP_TSA_3h_rep1
SRR3610927	ChIP_TSA_3h_rep2
SRR3610920	CHIP_GSNO_cPTIO_3h_rep2
SRR3610921	CHIP_GSNO_cPTIO_3h_rep2
SRR3610922	CHIP_GSNO_cPTIO_3h_rep2
SRR3610923	ChIP_TSA_3h_rep1
SRR1378619	Root_protoplasts_from_Arabidopsis_thaliana_for_TARGET_system.
SRR3610928	ChIP_TSA_3h_rep2
SRR3610929	ChIP_TSA_3h_rep2
SRR2046723	ChIP-Seq_analysis_of_TRB1_associated_sequences_(Wt(-)_GFP-Trap)
SRR2046726	ChIP-Seq_analysis_of_TRB1_associated_sequences_(TRB1-GFP(+)_GFP-Trap)
SRR2046727	ChIP-Seq_analysis_of_TRB1_associated_sequences_(Wt(-)_anti-TRB1)
SRR2046724	ChIP-Seq_analysis_of_TRB1_associated_sequences_(Wt(-)_GFP-Trap)
SRR2046725	ChIP-Seq_analysis_of_TRB1_associated_sequences_(TRB1-GFP(+)_GFP-Trap)
SRR2046728	ChIP-Seq_analysis_of_TRB1_associated_sequences_(TRB1(+)_anti-TRB1)
SRR2046729	ChIP-Seq_analysis_of_TRB1_associated_sequences_(TRB1(+)_anti-TRB1)
SRR1635513	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR4034136	Hybrid_vigour_(heterosis)_has_been_used_for_decades_in_crop_industries,_especially_in_the_production_of_maize_and_rice._Hybrid_varieties_usually_exceed_their_parents_in_plant_biomass_and_seed_yield._But_the_molecular_basis_of_hybrid_vigour_is_not_fully_understood._Previous_studies_have_suggested_that_epigenetic_systems_could_play_a_role_in_heterosis._In_this_project,_we_investigated_genome-wide_patterns_of_four_histone_marks_in_Arabidopsis_hybrids_at_a_germination_stage_of_seeds.
DRR072857	suvh456_triple
DRR072856	suvh456_triple
DRR072855	ldl2_T-DNA
DRR072854	ldl2_T-DNA
DRR072853	ldl2_T-DNA
DRR072852	ldl2_T-DNA
DRR072851	ldl2_T-DNA
DRR072850	WT_Col-0
SRR520249	P3M-ChIP-1
DRR072859	suvh456_triple
DRR072858	suvh456_triple
SRR5133371	
SRR5133370	
SRR2085422	mCHH;drm2_rep1
SRR5133372	
SRR2001293	rosettes_wildtype_peg_H3T3ph_rep5
SRR2637923	H3K4me2_ChIP-Seq_WT
SRR1719113	p35S:LFYTERE,_rep1
SRR1719112	p35S:LFY,_rep2
SRR4034130	Hybrid_vigour_(heterosis)_has_been_used_for_decades_in_crop_industries,_especially_in_the_production_of_maize_and_rice._Hybrid_varieties_usually_exceed_their_parents_in_plant_biomass_and_seed_yield._But_the_molecular_basis_of_hybrid_vigour_is_not_fully_understood._Previous_studies_have_suggested_that_epigenetic_systems_could_play_a_role_in_heterosis._In_this_project,_we_investigated_genome-wide_patterns_of_four_histone_marks_in_Arabidopsis_hybrids_at_a_germination_stage_of_seeds.
SRR1719116	WT_Col-0,_rep2
SRR1719115	WT_Col-0,_rep1
SRR3087127	A_thaliana_H3K4me3_chip
SRR037790	ChIP-seq_of_histone_modifications_with_aerial_tissue_of_two-weeks_old_seedlings
SRR2962408	Col_H3K27me3_ChIPseq_rep2
SRR2962409	atring1a,b_H3K27me3_ChIPseq_rep2
SRR037792	ChIP-seq_of_histone_modifications_with_aerial_tissue_of_two-weeks_old_seedlings
SRR2637925	Input_ChIP-Seq_WT
SRR942003	jmj14_H3K4m2_ChIP_(replicate_1)_A,_B
SRR942002	jmj14_H3K4m2_ChIP_(replicate_1)_A,_B
SRR2135710	I_input_rep_2_for_K27
SRR942004	ldl1_ldl2_H3K4m2_ChIP_(replicate_1)_A,_B
SRR5219244	WT1
SRR5219245	WT2
SRR5219246	35S-HEC1-1
SRR5219247	35S-HEC1-2
SRR3418110	AT5G67300_MYB44_ABA_ChIP_rep3
SRR5478885	ELF3-MYC_ChIP-seq_time_course_at_22C_collected_at_ZT8
SRR1931607	clf_29_neg_ChIPseq
SRR1931606	clf_29_H3K27me3_ChIPseq
SRR1931605	Col_neg_ChIPseq
SRR1931604	Col_H3K27me3_ChIPseq
SRR1554463	MYB3R3-GFP_9d_seedlings_ChIP
ERR031125	Inflorescences-Low_amount_material-OverAmplified-SEP3_IP-rep1
SRR1554464	MYB3R3-GFP_9d_seedlings_input
SRR6078570	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_ChIP-seq_H3K9me2
ERR031124	Inflorescences-Low_amount_material-SEP3_IP-rep2
SRR5646765	NRPD1-3xFLAG_input_1
ERR031123	E-MTAB-587:Inflorescences-Low_amount_material-SEP3_IP-rep1
SRR5646764	WT_IP_1
SRR1635718	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR647601	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR6078571	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_ChIP-seq_H3K9me2
SRR5646768	NRPD1-3xFLAG,clsy2-2_IP_1
SRR5681425	at-endosperm-h3_replicate1_col_wt_x_ler_osd
SRR851704	mock_ChIP_control_8d
SRR851703	mock_ChIP_control_4d
SRR5146132	A.thaliana_15D
SRR5146131	A.thaliana_15D
SRR5681424	at-endosperm-h3k9m2_replicate2_col_wt_x_ler_osd
DRR072824	ibm1-4
DRR072825	ibm1-4
DRR072822	ibm1-4
DRR072823	ibm1-4
SRR040048	ap2_chip_rep2
SRR040049	ap2_ctrl_rep1
DRR072820	WT_Col-0
DRR072821	ibm1-4
SRR040046	ap2_chip_rep1
SRR040047	ap2_chip_rep1
SRR040045	ap2_chip_rep1
SRR1635669	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR1536267	ZC_2_131216
SRR1191645	AtDEK3_OE17-4
SRR1191644	AtDEK3_OE9-1_inout
SRR1191646	AtDEK3_OE17-4_input
SRR1191641	AtDEK3_OE3-1
SRR1191643	AtDEK3_OE9-1
SRR1191642	AtDEK3_OE3-1_input
SRR070384	lfy-samp-rep1
SRR070385	lfy-samp-rep2
SRR070382	lfy-ctrl-rep1
SRR070383	lfy-ctrl-rep2
ERR1662982	E-MTAB-4680:Sample_6;_Sample_6
ERR1662981	E-MTAB-4680:Sample_5;_Sample_5
ERR1662980	E-MTAB-4680:Sample_4;_Sample_4
SRR4010789	H3K36me3-ChIP_16°C_biological_replicate_C
SRR4010788	H3K36me3-ChIP_16°C_biological_replicate_B
SRR402842	ago4_input
SRR402843	nrpe1_ChIP
SRR2001266	rosettes_wildtype_watered_H3_rep3
SRR2001267	rosettes_wildtype_watered_H3_rep4
SRR2001264	rosettes_wildtype_watered_H3_rep1
SRR2001265	rosettes_wildtype_watered_H3_rep2
SRR2001268	rosettes_wildtype_watered_H3K4me1_rep1
SRR2001269	rosettes_wildtype_watered_H3K4me1_rep2
SRR4010787	H3K36me3-ChIP_16°C_biological_replicate_A
SRR646238	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR354189	seedling_svp_SVP-GFP_rep2
SRR354188	seedling_svp_SVP-GFP_rep1
SRR354187	Inflorescence_svp_SVP-GFP_rep2
SRR354186	Inflorescence_svp_SVP-GFP_rep1
SRR3234470	H2B_ChIP-seq_27c_15min
SRR6078530	Arabidopsis_thaliana_Col-0,_7-day_split,_2_week_dark-adapted_culture,_ChIP-seq_H3K9me2
SRR3234471	H2B_ChIP-seq_27c_1hr
SRR2001290	rosettes_wildtype_peg_H3T3ph_rep2
SRR646233	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR2932278	H3_ws_wt_Rep1
SRR2932279	H3_ws_wt_Rep2
SRR2979659	ein2_mutant_in_COL-0_background_for_air_treatment
SRR3610938	ChIP_water_16h_rep2
SRR5313739	ChIPseq_AGO1_WT_BTHtreat_ChIP_rep2
SRR5313738	ChIPseq_AGO1_WT_BTHtreat_ChIP_rep1
SRR3610933	ChIP_water_16h_rep1
SRR3610932	ChIP_water_16h_rep1
SRR3610931	ChIP_water_16h_rep1
SRR3610930	ChIP_TSA_3h_rep2
SRR5313731	ChIPseq_AGO1_ago1-36_ChIP_rep2
SRR3610936	ChIP_water_16h_rep2
SRR3610935	ChIP_water_16h_rep2
SRR3610934	ChIP_water_16h_rep1
SRR1378621	Root_protoplasts_from_Arabidopsis_thaliana_for_TARGET_system.
SRR3203380	H3K27me3_in_CLF_IP_Replicate2
DRR072848	WT_Col-0
DRR072849	WT_Col-0
DRR072840	ibm1-4
DRR072841	ibm1-4_ldl2-11
DRR072842	ibm1-4_ldl2-11
DRR072843	ibm1-4_ldl2-11
DRR072844	ibm1-4_ldl2-11
DRR072845	ibm1-4_ldl2-11
DRR072846	WT_Col-0
DRR072847	WT_Col-0
SRR5113997	K36M-hom-H3K36me3
SRR5113996	K36M-H3K36me3
SRR5113995	WT-H3K36me3
SRR520251	P3M-ChIP-2
SRR520256	WT-ChIP-1
SRR520257	WT-ChIP-2
SRR520254	P3M-ChIP-4
SRR520255	WT-ChIP-1
SRR520258	WT-ChIP-2
SRR520259	WT-ChIP-3
SRR5113999	Col-0-H3K36me3
SRR5113998	sdg8-H3K36me3
SRR1451413	MBD7-5-Input-rep1
SRR094104	H3_ChIP_atxr5_atxr6
SRR094105	H3_ChIP_atxr5_atxr6
SRR094102	H3K27me1_ChIP_wild-type
SRR094103	H3K27me1_ChIP_wild-type
SRR094100	H3K27me1_ChIP_wild-type
SRR094101	H3K27me1_ChIP_wild-type
SRR6311285	ChIPseq_IgG_WT
SRR402840	Col-0_input
SRR037791	ChIP-seq_of_histone_modifications_with_aerial_tissue_of_two-weeks_old_seedlings
SRR6311286	ChIPseq_IgG_ago1-36
SRR402841	ago4_ChIP
SRR402059	PIF4_ChIP-Seq
SRR446488	H3.3_dividing_rep1
SRR3938570	
SRR3938571	
SRR3938572	
ERR104655	E-MTAB-1043:Col_x_Ler
ERR104653	E-MTAB-1043:Col_input
SRR3418096	AT4G27410_RD26_ABA_ChIP_rep2
SRR3418097	AT4G27410_RD26_EtOH_ChIP_rep2
SRR3418094	AT4G27410_RD26_ABA_ChIP_rep1
SRR3418095	AT4G27410_RD26_EtOH_ChIP_rep1
SRR3418092	AT5G05410_DREB2A_ABA_ChIP_rep3
SRR3418093	AT5G05410_DREB2A_EtOH_ChIP_rep3
SRR3418090	AT5G05410_DREB2A_ABA_ChIP_rep2
SRR3418091	AT5G05410_DREB2A_EtOH_ChIP_rep2
SRR3418098	AT4G27410_RD26_ABA_ChIP_rep3
SRR3418099	AT4G27410_RD26_EtOH_ChIP_rep3
SRR2135701	t2_H3K27me3_rep_1
SRR2135700	t0_H3K27me3_rep_2
SRR2135703	I_H3K27me3_rep_1
SRR2135702	t2_H3K27me3_rep_2
SRR2135705	t2_input_rep_1
SRR2135704	I_H3K27me3_rep_2
SRR2135707	t2_input_rep_2_for_K4
SRR2135706	I_input_rep_1
SRR2135709	t2_input_rep_2_for_K27
SRR2135708	I_input_rep_2_for_K4
SRR116764	Col_FRI
SRR394080	input_genomic_DNA_for_HTR5
SRR3418140	AT3G19290_ABF4_ABA_ChIP_rep1
SRR3418141	AT3G19290_ABF4_EtOH_ChIP_rep1
SRR3418142	AT3G19290_ABF4_ABA_ChIP_rep2
SRR3418143	AT3G19290_ABF4_EtOH_ChIP_rep2
SRR3418144	AT3G19290_ABF4_ABA_ChIP_rep3
SRR3418145	AT3G19290_ABF4_EtOH_ChIP_rep3
SRR3418146	AT4G34000_ABF3_ABA_ChIP_rep1
SRR3418147	AT4G34000_ABF3_EtOH_ChIP_rep1
SRR3418148	AT4G34000_ABF3_ABA_ChIP_rep2
SRR5149638	H3.3swap-2
SRR576297	Col-0_H3_rep_2
SRR576296	Col-0_H3_rep_1
SRR576299	nrpe1_H3_rep_2
SRR576298	nrpe1_H3_rep_1
SRR5011157	Col_input
SRR788204	GSM1103234:_shh1_PolIV_ChIP_replicate_2
SRR2922644	A_thaliana_H2A.Z_chip
SRR1848411	at-leaf-Input_1_replicate_1
SRR3234458	H3_ChIP-seq_17c_1hr_rep2
SRR3234459	H3_ChIP-seq_17c_4hr_rep1
SRR647614	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR3234456	H3_ChIP-seq_17c_15min_rep2
SRR3234457	H3_ChIP-seq_17c_1hr_rep1
SRR3234455	H3_ChIP-seq_17c_15min_rep1
SRR1848410	at-endosperm-Input_1_replicate_1_col_x_ler
SRR2979665	ein2_mutant_in_COL-0_background_for_air_treatment
SRR1015052	JAG_wild-type_replicate_1
SRR4723030	HDP2_IP_rep1
SRR4723031	HDP2_IP_rep1
SRR4723032	HDP2_IP_rep1
SRR4723033	HDP2_IP_rep1
SRR4723034	HDP2_IP_rep2
SRR4723035	HDP2_IP_rep2
SRR4723036	HDP2_IP_rep2
SRR4723037	HDP2_IP_rep2
SRR4723038	Input_rep1
SRR4723039	Input_rep1
SRR1015051	JAG-GFP_replicate_3
SRR1635673	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR411113	TOC1_ChIPSeq
SRR411114	input_DNA
SRR1015050	JAG-GFP_replicate_2
SRR446502	IgG_non-dividing_rep1
SRR1005410	suvh456_H3K9me2_ChIP
SRR1005411	suvh456_H3K23ac_ChIP
SRR3133639	
SRR3130640	
SRR4734670	Col-0_H2AK121ub_7DAG_rep6
SRR4734671	input_DNA
ERR1662977	E-MTAB-4680:Sample_1;_Sample_1
SRR518501	Col_ChIPseq
SRR518500	CMT3_ChIPseq
ERR1662978	E-MTAB-4680:Sample_2;_Sample_2
ERR1662979	E-MTAB-4680:Sample_3;_Sample_3
SRR2001271	rosettes_wildtype_watered_H3K4me3_rep1
SRR2001270	rosettes_wildtype_watered_H3K4me1_rep3
SRR2001273	rosettes_wildtype_watered_H3K4me3_rep3
SRR2001272	rosettes_wildtype_watered_H3K4me3_rep2
SRR2001275	rosettes_wildtype_watered_H3T3ph_rep2
SRR2001274	rosettes_wildtype_watered_H3T3ph_rep1
SRR2001277	rosettes_wildtype_watered_H3T3ph_rep4
SRR2001276	rosettes_wildtype_watered_H3T3ph_rep3
SRR2001279	rosettes_wildtype_peg_H3_rep2
SRR2001278	rosettes_wildtype_peg_H3_rep1
SRR402839	Col-0_ChIP
SRR1848416	at-endosperm-Input_2_replicate_1_col_x_ler
SRR354190	Inflorescence_wt_col_rep1
SRR354191	Inflorescence_wt_col_rep2
SRR1015054	JAG_wild-type_replicate_3
